id,fullName,team,position,status
4424286,Spencer Torkelson,DET,1B,Active
4424290,Gage Workman,CHW,3B,Active
4424368,Alan Roden,TOR,LF,Active
4424742,Brooks Baldwin,CHW,LF,Active
4424862,Spencer Schwellenbach,ATL,SP,Active
4424931,Garrett McDaniels,LAA,RP,Active
4448736,Lars Nootbaar,STL,LF,Active
4619460,Jordan Beck,COL,LF,Active
4620398,Jonathan Cannon,CHW,SP,Active
4622181,Jack Leiter,TEX,SP,Active
4622501,Mason Fluharty,TOR,RP,Active
4622931,Graham Pauley,MIA,3B,Active
4623366,Jared Shuster,CHW,RP,Active
4626239,Ben Williamson,SEA,3B,Active
4629081,Brooks Lee,MIN,3B,Active
4629089,Bryan Woo,SEA,SP,Active
4630789,Orion Kerkering,PHI,RP,Active
